"Firms","Date","Analyst_Company","Opinions","Price"
"1","3M Co.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"2","3M Co.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"3","3M Co.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4","3M Co.","10/25/23","Barclays Capital","Maintained Sell","$98"
"5","3M Co.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"6","3M Co.","09/15/23","HSBC","Maintained Sell","$109"
"7","3M Co.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"8","3M Co.","08/29/23","Mizuho","Maintained Hold","$120"
"9","3M Co.","08/29/23","Wolfe Research","Upgraded to Hold",""
"10","3M Co.","07/26/23","Morgan Stanley","Maintained Sell","$102"
"11","3M Co.","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"12","3M Co.","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"13","3M Co.","07/14/23","Morgan Stanley","Maintained Sell","$100"
"14","3M Co.","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"15","3M Co.","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"16","3M Co.","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"17","3M Co.","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"18","3M Co.","07/10/23","Barclays Capital","Maintained Sell","$93"
"19","3M Co.","06/27/23","Morgan Stanley","Maintained Sell","$100"
"20","3M Co.","06/01/23","UBS","Maintained Hold","$95"
"21","3M Co.","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"22","3M Co.","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"23","3M Co.","04/26/23","Morgan Stanley","Maintained Sell","$102"
"24","3M Co.","04/19/23","Morgan Stanley","Maintained Sell","$103"
"25","3M Co.","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"26","3M Co.","04/06/23","Barclays Capital","Maintained Sell","$103"
"27","3M Co.","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"28","3M Co.","03/22/23","Barclays Capital","Maintained Sell","$105"
"29","3M Co.","01/26/23","Mizuho","Maintained Hold","$120"
"30","3M Co.","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"31","3M Co.","01/25/23","Barclays Capital","Maintained Sell","$122"
"32","3M Co.","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"33","3M Co.","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"34","3M Co.","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"35","3M Co.","10/26/22","Mizuho","Maintained Hold","$130"
"36","3M Co.","10/26/22","Morgan Stanley","Maintained Sell","$110"
"37","3M Co.","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"38","3M Co.","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"39","3M Co.","10/13/22","Deutsche Bank","Maintained Hold","$126"
